Iteration,ExplainedVariance,MaxReturn,MinReturn,dLoss,LossBefore,StdReturn,LossAfter,MeanKL,Perplexity,AverageDiscountedReturn,AverageReturn,Entropy,NumTrajs,MeanKLBefore
68,-0.0165622784477,-1107.5,-8020.0,0.0041429025902,-5.64074141309e-05,2823.69069954,-0.00419931000433,0.00931405847284,4.53704761383,-583.601443531,-4495.0,1.51227649519,3,0.00790258641352
69,-1.20505515213,-3057.5,-5101.25,0.0,0.00816928009274,846.505274972,0.00816928009274,0.0150633206898,4.4970371389,-401.146531019,-4180.41666667,1.50341876635,3,0.0150633206898
70,0.812356917819,-8020.0,-8020.0,0.0,-0.0120094388887,0.0,-0.0120094388887,0.00750519581105,4.10188829616,-910.247233625,-8020.0,1.41144742773,3,0.00750519581105
71,-0.994966709487,-463.75,-4982.5,0.014887194076,-0.00841911495398,1990.23004324,-0.02330630903,0.00957501011041,4.5314917283,-577.609929755,-3251.25,1.51105118513,3,0.00626546839434
72,0.0317991454882,911.25,-8020.0,0.0,-0.00293780075666,3647.42465271,-0.00293780075666,0.0118763538593,4.20099387702,-487.052723995,-3622.08333333,1.43532113468,3,0.0118763538593
73,0.337682326979,1680.0,-8020.0,0.0,-0.00668770452651,4572.62385167,-0.00668770452651,0.0121901162311,4.33246888163,-564.104434287,-4786.66666667,1.46613756004,3,0.0121901162311
74,0.817733977713,-8020.0,-8020.0,0.00198900398907,-0.00689142927968,0.0,-0.00888043326875,0.00968536542032,4.19771270466,-910.247233625,-8020.0,1.43453978282,3,0.00713328512076
75,-0.115281876005,1986.25,-8020.0,0.0265357764125,3.35454975136e-05,4238.4166085,-0.026502230915,0.00949830921007,4.12853373556,-154.547663924,-2217.91666667,1.41792231623,3,0.00553662380747
76,-0.497756176095,-8020.0,-8020.0,0.0,-0.0292694370453,0.0,-0.0292694370453,0.0115581127374,4.3527318832,-910.247233625,-8020.0,1.47080366711,3,0.0115581127374
77,0.359528815722,-1582.5,-8020.0,0.0172138313675,-0.00531519117793,3034.66660259,-0.0225290225455,0.00907728746486,4.28559048032,-478.589506863,-5874.16666667,1.45525834426,3,0.00615334144296
78,0.909221436929,-8020.0,-8020.0,0.0188801215407,0.00782077054472,0.0,-0.011059350996,0.00857843829551,3.96109679584,-910.247233625,-8020.0,1.37652095556,3,0.00517103131404
79,0.185210490707,-857.5,-8020.0,0.0248846618769,-0.0067403383092,3376.43488017,-0.0316250001861,0.00901874485239,4.26784583309,-422.930791799,-5632.5,1.4511092112,3,0.00640519611435
80,0.479133554448,-8007.5,-8020.0,0.0121928264237,0.000112522034182,5.89255650989,-0.0120803043895,0.00841099709463,4.08011584077,-910.171302595,-8015.83333333,1.40612538036,3,0.00456751966026
81,0.693984696321,-5563.75,-8020.0,0.0,-0.000238177776969,1003.43593744,-0.000238177776969,0.0144417070209,4.29364586225,-711.533318638,-6817.91666667,1.45713622336,3,0.0144417070209
82,-0.332103671418,9530.0,-2707.5,0.0,0.0114644520682,4996.13392201,0.0114644520682,0.0147464715878,4.46082457805,905.619131353,3380.0,1.49533363191,3,0.0147464715878
83,-0.522408557992,-8020.0,-8020.0,0.0196995569748,0.0123530433678,0.0,-0.00734651360703,0.00973531736591,4.06313565572,-910.247233625,-8020.0,1.40195500452,3,0.00790285378824
84,-6.8502802511,-1920.0,-8020.0,0.0,0.00833849718716,2875.56757683,0.00833849718716,0.0164204704799,4.47642276444,-777.632221935,-5986.66666667,1.49882423738,3,0.0164204704799
85,0.5992175552,-2982.5,-8020.0,0.0,-0.000148776430638,2374.70027348,-0.000148776430638,0.00555976978655,4.1676609176,-767.36284187,-6340.83333333,1.4273549474,3,0.00555976978655
